Frame,Name,X,Y,Z,Score
16193,RIGHT_FOOT_INDEX,0.871238351,0.686634183,0.021554384,0.926907599
16194,LEFT_HIP,0.971241593,0.388494581,-0.025658216,0.999185681
16194,RIGHT_HIP,0.930918515,0.389381379,0.025593007,0.999363601
16194,LEFT_KNEE,0.982781708,0.529504001,-0.063232891,0.980422854
16194,RIGHT_KNEE,0.910625458,0.520185828,0.027161146,0.972162783
16194,LEFT_ANKLE,0.988243699,0.670192242,0.016102765,0.961741686
16194,RIGHT_ANKLE,0.901403427,0.653940499,0.158103794,0.946935415
16194,LEFT_HEEL,0.985308051,0.689840674,0.016958127,0.885512292
16194,RIGHT_HEEL,0.908888519,0.67384392,0.165094867,0.912043869
16194,LEFT_FOOT_INDEX,0.989243388,0.710033357,-0.087460868,0.941646457
16194,RIGHT_FOOT_INDEX,0.875024021,0.689610898,0.07956405,0.93002075
16195,LEFT_HIP,0.974581897,0.391629279,-0.027570045,0.999093652
16195,RIGHT_HIP,0.933356464,0.393263042,0.027529756,0.999379992
16195,LEFT_KNEE,0.985691369,0.530211866,-0.063747481,0.981272936
16195,RIGHT_KNEE,0.915834427,0.520386815,0.029061457,0.974061966
16195,LEFT_ANKLE,0.987555325,0.671867192,0.008728989,0.96469295
16195,RIGHT_ANKLE,0.903581619,0.656390846,0.142809361,0.951267838
16195,LEFT_HEEL,0.984563351,0.693638563,0.008729727,0.885679901
16195,RIGHT_HEEL,0.910139084,0.674383283,0.148054644,0.914495826
